48001,"Anderson County, Texas"
48003,"Andrews County, Texas"
48005,"Angelina County, Texas"
48007,"Aransas County, Texas"
48009,"Archer County, Texas"
48011,"Armstrong County, Texas"
48013,"Atascosa County, Texas"
48015,"Austin County, Texas"
48017,"Bailey County, Texas"
48019,"Bandera County, Texas"
48021,"Bastrop County, Texas"
48023,"Baylor County, Texas"
48025,"Bee County, Texas"
48027,"Bell County, Texas"
48029,"Bexar County, Texas"
48031,"Blanco County, Texas"
48033,"Borden County, Texas"
48035,"Bosque County, Texas"
48037,"Bowie County, Texas"
48039,"Brazoria County, Texas"
48041,"Brazos County, Texas"
48043,"Brewster County, Texas"
48045,"Briscoe County, Texas"
48047,"Brooks County, Texas"
48049,"Brown County, Texas"
48051,"Burleson County, Texas"
48053,"Burnet County, Texas"
48055,"Caldwell County, Texas"
48057,"Calhoun County, Texas"
48059,"Callahan County, Texas"
48061,"Cameron County, Texas"
48063,"Camp County, Texas"
48065,"Carson County, Texas"
48067,"Cass County, Texas"
48069,"Castro County, Texas"
48071,"Chambers County, Texas"
48073,"Cherokee County, Texas"
48075,"Childress County, Texas"
48077,"Clay County, Texas"
48079,"Cochran County, Texas"
48081,"Coke County, Texas"
48083,"Coleman County, Texas"
48085,"Collin County, Texas"
48087,"Collingsworth County, Texas"
48089,"Colorado County, Texas"
48091,"Comal County, Texas"
48093,"Comanche County, Texas"
48095,"Concho County, Texas"
48097,"Cooke County, Texas"
48099,"Coryell County, Texas"
48101,"Cottle County, Texas"
48103,"Crane County, Texas"
48105,"Crockett County, Texas"
48107,"Crosby County, Texas"
48109,"Culberson County, Texas"
48111,"Dallam County, Texas"
48113,"Dallas County, Texas"
48115,"Dawson County, Texas"
48117,"Deaf Smith County, Texas"
48119,"Delta County, Texas"
48121,"Denton County, Texas"
48123,"DeWitt County, Texas"
48125,"Dickens County, Texas"
48127,"Dimmit County, Texas"
48129,"Donley County, Texas"
48131,"Duval County, Texas"
48133,"Eastland County, Texas"
48135,"Ector County, Texas"
48137,"Edwards County, Texas"
48139,"Ellis County, Texas"
48141,"El Paso County, Texas"
48143,"Erath County, Texas"
48145,"Falls County, Texas"
48147,"Fannin County, Texas"
48149,"Fayette County, Texas"
48151,"Fisher County, Texas"
48153,"Floyd County, Texas"
48155,"Foard County, Texas"
48157,"Fort Bend County, Texas"
48159,"Franklin County, Texas"
48161,"Freestone County, Texas"
48163,"Frio County, Texas"
48165,"Gaines County, Texas"
48167,"Galveston County, Texas"
48169,"Garza County, Texas"
48171,"Gillespie County, Texas"
48173,"Glasscock County, Texas"
48175,"Goliad County, Texas"
48177,"Gonzales County, Texas"
48179,"Gray County, Texas"
48181,"Grayson County, Texas"
48183,"Gregg County, Texas"
48185,"Grimes County, Texas"
48187,"Guadalupe County, Texas"
48189,"Hale County, Texas"
48191,"Hall County, Texas"
48193,"Hamilton County, Texas"
48195,"Hansford County, Texas"
48197,"Hardeman County, Texas"
48199,"Hardin County, Texas"
48201,"Harris County, Texas"
48203,"Harrison County, Texas"
48205,"Hartley County, Texas"
48207,"Haskell County, Texas"
48209,"Hays County, Texas"
48211,"Hemphill County, Texas"
48213,"Henderson County, Texas"
48215,"Hidalgo County, Texas"
48217,"Hill County, Texas"
48219,"Hockley County, Texas"
48221,"Hood County, Texas"
48223,"Hopkins County, Texas"
48225,"Houston County, Texas"
48227,"Howard County, Texas"
48229,"Hudspeth County, Texas"
48231,"Hunt County, Texas"
48233,"Hutchinson County, Texas"
48235,"Irion County, Texas"
48237,"Jack County, Texas"
48239,"Jackson County, Texas"
48241,"Jasper County, Texas"
48243,"Jeff Davis County, Texas"
48245,"Jefferson County, Texas"
48247,"Jim Hogg County, Texas"
48249,"Jim Wells County, Texas"
48251,"Johnson County, Texas"
48253,"Jones County, Texas"
48255,"Karnes County, Texas"
48257,"Kaufman County, Texas"
48259,"Kendall County, Texas"
48261,"Kenedy County, Texas"
48263,"Kent County, Texas"
48265,"Kerr County, Texas"
48267,"Kimble County, Texas"
48269,"King County, Texas"
48271,"Kinney County, Texas"
48273,"Kleberg County, Texas"
48275,"Knox County, Texas"
48277,"Lamar County, Texas"
48279,"Lamb County, Texas"
48281,"Lampasas County, Texas"
48283,"La Salle County, Texas"
48285,"Lavaca County, Texas"
48287,"Lee County, Texas"
48289,"Leon County, Texas"
48291,"Liberty County, Texas"
48293,"Limestone County, Texas"
48295,"Lipscomb County, Texas"
48297,"Live Oak County, Texas"
48299,"Llano County, Texas"
48301,"Loving County, Texas"
48303,"Lubbock County, Texas"
48305,"Lynn County, Texas"
48307,"McCulloch County, Texas"
48309,"McLennan County, Texas"
48311,"McMullen County, Texas"
48313,"Madison County, Texas"
48315,"Marion County, Texas"
48317,"Martin County, Texas"
48319,"Mason County, Texas"
48321,"Matagorda County, Texas"
48323,"Maverick County, Texas"
48325,"Medina County, Texas"
48327,"Menard County, Texas"
48329,"Midland County, Texas"
48331,"Milam County, Texas"
48333,"Mills County, Texas"
48335,"Mitchell County, Texas"
48337,"Montague County, Texas"
48339,"Montgomery County, Texas"
48341,"Moore County, Texas"
48343,"Morris County, Texas"
48345,"Motley County, Texas"
48347,"Nacogdoches County, Texas"
48349,"Navarro County, Texas"
48351,"Newton County, Texas"
48353,"Nolan County, Texas"
48355,"Nueces County, Texas"
48357,"Ochiltree County, Texas"
48359,"Oldham County, Texas"
48361,"Orange County, Texas"
48363,"Palo Pinto County, Texas"
48365,"Panola County, Texas"
48367,"Parker County, Texas"
48369,"Parmer County, Texas"
48371,"Pecos County, Texas"
48373,"Polk County, Texas"
48375,"Potter County, Texas"
48377,"Presidio County, Texas"
48379,"Rains County, Texas"
48381,"Randall County, Texas"
48383,"Reagan County, Texas"
48385,"Real County, Texas"
48387,"Red River County, Texas"
48389,"Reeves County, Texas"
48391,"Refugio County, Texas"
48393,"Roberts County, Texas"
48395,"Robertson County, Texas"
48397,"Rockwall County, Texas"
48399,"Runnels County, Texas"
