48001,58458
48003,14786
48005,86771
48007,23158
48009,9054
48011,1901
48013,44911
48015,28417
48017,7165
48019,20485
48021,74171
48023,3726
48025,31861
48027,310235
48029,1714773
48031,10497
48033,641
48035,18212
48037,92565
48039,313166
48041,194851
48043,9232
48045,1637
48047,7223
48049,38106
48051,17187
48053,42750
48055,38066
48057,21381
48059,13544
48061,406220
48063,12401
48065,6182
48067,30464
48069,8062
48071,35096
48073,50845
48075,7041
48077,10752
48079,3127
48081,3320
48083,8895
48085,782341
48087,3057
48089,20874
48091,108472
48093,13974
48095,4087
48097,38437
48099,75388
48101,1505
48103,4375
48105,3719
48107,6059
48109,2398
48111,6703
48113,2368139
48115,13833
48117,19372
48119,5231
48121,662614
48123,20097
48125,2444
48127,9996
48129,3677
48131,11782
48133,18583
48135,137130
48137,2002
48139,149610
48141,800647
48143,37890
48145,17866
48147,33915
48149,24554
48151,3974
48153,6446
48155,1336
48157,585375
48159,10605
48161,19816
48163,17217
48165,17526
48167,291309
48169,6461
48171,24837
48173,1226
48175,7210
48177,19807
48179,22535
48181,120877
48183,121730
48185,26604
48187,131533
48189,36273
48191,3353
48193,8517
48195,5613
48197,4139
48199,54635
48201,4092459
48203,65631
48205,6062
48207,5899
48209,157107
48211,3807
48213,78532
48215,774769
48217,35089
48219,22935
48221,51182
48223,35161
48225,23732
48227,35012
48229,3476
48231,86129
48233,22150
48235,1599
48237,9044
48239,14075
48241,35710
48243,2342
48245,252273
48247,5300
48249,40838
48251,150934
48253,20202
48255,14824
48257,103350
48259,33410
48261,416
48263,808
48265,49625
48267,4607
48269,286
48271,3598
48273,32061
48275,3719
48277,49793
48279,13977
48281,19677
48283,6886
48285,19263
48287,16612
48289,16801
48291,75643
48293,23384
48295,3302
48297,11531
48299,19301
48301,82
48303,278831
48305,5915
48307,8283
48309,234906
48311,707
48313,13664
48315,10546
48317,4799
48319,4012
48321,36702
48323,54258
48325,46006
48327,2242
48329,136872
48331,24757
48333,4936
48335,9403
48337,19719
48339,455746
48341,21904
48343,12934
48345,1210
48347,64524
48349,47735
48351,14445
48353,15216
48355,340223
48357,10223
48359,2052
48361,81837
48363,28111
48365,23796
48367,116927
48369,10269
48371,15507
48373,45413
48375,121073
48377,7818
48379,10914
48381,120725
48383,3367
48385,3309
48387,12860
48389,13783
48391,7383
48393,929
48395,16622
48397,78337
48399,10501
48401,53330
48403,10834
48405,8865
48407,26384
48409,64804
48411,6131
48413,3461
48415,16921
48417,3378
48419,25448
48421,3034
48423,209714
48425,8490
48427,60968
48429,9630
48431,1143
48433,1490
48435,4128
48437,7854
48439,1809034
48441,131506
48443,984
48445,12651
48447,1641
48449,32334
48451,110224
48453,1024266
48455,14585
48457,21766
48459,39309
48461,3355
48463,26405
48465,48879
48467,52579
48469,86793
48471,67861
48473,43205
48475,10658
48477,33718
48479,250304
48481,41280
48483,5410
48485,131500
48487,13535
48489,22134
48491,422679
48493,42918
48495,7110
48497,59127
48499,41964
48501,7879
48503,18550
48505,14018
48507,11677
